District_Name,,Rural,SchoolNo,STRatio,TotalStudents,PEAKS_Math,PEAKS_ELA
Alaska Gateway School District,,1,8,15.7,409,0.12,0.14
Aleutian Region School District,,1,2,7.25,29,0.25,0.42
Aleutians East Borough School District,,1,4,8.1,234,0.32,0.32
Anchorage School District,,0,97,17.41,"46,143",0.39,0.42
Annette Island School District,,1,3,11.1,310,0.26,0.28
Bering Strait School District,,1,15,11.38,1900,0.09,0.07
Bristol Bay Borough School District,,1,3,10.46,113,0.25,0.21
Chatham School District,,1,4,9.68,152,0.32,0.38
Chugach School District,,0,4,29.74,510,0.17,0.39
Copper River School District,,1,5,16.1,446,0.39,0.46
Cordova City School District,,1,3,15.27,336,0.46,0.53
Craig City School District,,1,4,20.55,560,0.3,0.41
Delta/Greely School District,,1,5,16.89,791,0.55,0.51
Denali Borough School District,,1,4,32.57,993,0.42,0.56
Dillingham City school District,,1,3,11.65,442,0.31,0.31
Fairbanks North Star Borough School District,,0,36,17.62,"13,319",0.39,0.42
Galena City School District,,0,4,81.07,"5,326",0.34,0.59
Haines Borough School District,,1,3,15.14,276,0.44,0.65
Hoonah City School District,,1,1,11.75,127,0.23,0.21
Hydaburg City School District,,1,2,9.74,112,0.12,0.19
Iditarod Area School District,,1,8,18.3,320,0.08,0.13
Juneau Borough School District,,0,15,16.23,4725,0.41,0.46
Kake City School District,,1,1,9.12,103,0.35,0.53
Kashunamiut School District,,1,1,14.23,313,0.02,0.02
Kenai Peninsula Borough School District,,1,42,16.14,8774,0.41,0.48
Ketchikan Gateway Borough School District,,0,9,14.59,2291,0.44,0.46
Klawock City School District,,1,2,9.16,131,0.16,0.23
Kodiak Island Borough School District,,0,12,15.73,2308,0.4,0.41
Kuspuk School District,,1,9,13.9,406,0.11,0.1
Lake and Peninsula School District,,1,13,7.76,361,0.28,0.33
Lower Kuskokwim School District,,1,29,15.64,4245,0.09,0.06
Lower Yukon School District,,1,11,16.32,2027,0.01,0.03
Matanuska-Susitna Borough School District,,0,47,20.49,19502,0.41,0.46
Mount Edgecumbe,,1,1,17.59,430,0.3,0.22
Nenana City School District,,1,2,65.1,1442,0.24,0.46
Nome Public Schools,,1,4,13.92,710,0.2,0.21
North Slope Borough School District,,1,12,12.8,2170,0.15,0.12
Northwest Arctic Borough School District,,1,13,16.74,2097,0.11,0.1
Pelican City School District,,1,1,10,16,< 25%,< 25%
Petersburg Borough School District,,1,3,13.79,469,0.57,0.7
Pribilof School District,,1,2,14.44,65,0.12,0.29
Saint Mary's School District,,1,1,14.47,204,0.21,0.14
Sitka School District,,1,6,12.46,1203,0.47,0.56
Skagway School District,,1,1,11.2,140,0.78,0.86
Southeast Island School District,,1,8,8.92,175,0.33,0.52
Southwest Region School District,,1,8,11.14,636,0.09,0.06
Tanana City School District,,1,1,8.25,33,0.1,0.23
Unalaska City School District,,1,2,13.62,412,0.49,0.54
Valdez City School District,,1,4,13.27,718,0.45,0.52
Wrangell Public School District,,1,3,13.4,308,0.56,0.49
Yakutat School District,,1,2,17.17,103,0.28,0.49
Yukon Flats School District,,1,6,10.05,211,0.07,0.15
Yukon-Koyukuk School District,,0,10,41.04,1978,0.2,0.31
Yupiit School District,,1,4,14.16,505,0.05,0.05

